,0.180,58.770,RfN,8.6,8.6,,,,,,,
,0.043,6.843,RfN,9.5,3.4,,,,,,,
,0.354,3.822,RfN,8.5,1.8,,,,,,,
,0.145,-7.524,RfN,9.5,8.4,,,,,,,
,0.223,-1.194,RfN,2.6,120.0,,,,,,,
,0.784,1.117,RfN,9.2,1.8,,,,,,,
,1.086,7.800,RfN,6.5,6.2,,,,,,,
,0.044,-1.819,RfN,8.5,4.6,,,,,,,
,0.007,1.074,RfN,6.0,7.4,,,,,,,
,0.397,-11.748,RfN,6.0,16.0,,,,,,,
,0.141,4.398,RfN,8.4,6.2,,,,,,,
,0.019,-29.808,RfN,7.0,4.6,,,,,,,
,0.008,-0.799,RfN,8.8,4.6,,,,,,,
,0.053,29.008,RfN,4.2,46.0,,,,,,,
,0.015,-1.061,RfN,4.6,54.0,,,,,,,
,-0.027,-29.080,RfN,9.1,9.0,,,,,,,
,0.017,1.617,RfN,9.5,8.0,,,,,,,
,0.098,6.599,RfN,7.6,14.2,,,,,,,
,0.156,-5.852,RfN,8.5,5.6,,,,,,,
,0.005,-8.050,RfN,3.7,22.0,,,Electra,,,,
,0.016,0.255,RfN,3.9,52.0,,,Maia,,,,
,0.008,-0.420,RfN,4.2,52.0,,,Merope,,,,
,0.019,0.157,RfN,2.9,34.0,,,Alcyone,,,,
,0.036,14.877,RfN,8.8,9.0,,,,,,,
,0.380,-15.407,RfN,7.5,8.6,,,,,,,
,0.019,-13.363,RfN,7.2,11.4,,,,,,,
,0.140,18.231,RfN,9.1,5.6,,,,,,,
,0.001,-8.908,RfN,9.4,1.8,,,T Tau A,,,,
,0.439,10.238,RfN,6.5,13.6,,,,,,,
,0.095,36.570,RfN,4.3,40.0,,,,,,,
,0.028,-35.792,RfN,6.8,9.0,,,,,,,
,0.110,13.719,RfN,9.1,1.8,,,,,,,
,0.075,-47.603,RfN,10.1,1.8,,,,,,,
,0.158,37.645,RfN,5.8,20.0,,,,,,,
,-0.022,-21.298,RfN,8.7,1.8,,,,,,,
,-0.008,-21.216,RfN,0.1,820.0,,,Rigel,,,,
,0.059,21.620,RfN,8.2,4.0,,,,,,,
,0.061,-4.989,RfN,5.8,28.0,,,,,,,
,0.046,24.390,RfN,9.5,0.6,,,,,,,
,0.019,-26.231,RfN,9.0,0.6,,,,,,,
,0.059,17.106,RfN,9.3,1.2,,,,,,,
,0.036,-29.398,RfN,9.5,5.6,,,,,,,
,0.013,11.751,RfN,9.0,2.2,,,,,,,
,0.002,-10.565,RfN,8.1,8.6,,,,,,,
,0.074,36.373,RfN,9.5,0.6,,,,,,,
,-0.004,-38.571,RfN,9.3,1.8,,,,,,,
,0.047,30.039,RfN,7.8,4.6,,,,,,,
,-0.019,-23.507,RfN,7.5,28.0,,,,,,,
,0.018,4.305,RfN,4.5,42.0,,,,,,,
