,0.121,27.708,G,12.9,1.6,1.1,112,,
,0.000,-0.030,G,14.2,0.9,0.5,110,,
,0.000,-19.376,G,13.4,1.0,0.6,112,,
,0.002,0.072,G,16.4,0.5,0.2,32,,
,0.007,26.988,G,14.6,1.0,0.6,111,,
,0.029,-2.053,G,14.4,1.7,1.3,141,,
,-0.020,-63.224,G,13.8,2.5,0.5,23,,
1,0.010,53.732,G,14.6,0.7,0.3,149,,
,-0.006,-57.675,G,12.5,2.4,1.3,30,,
,0.002,71.306,G,14.4,1.4,0.2,111,,
,0.001,-32.835,G,13.2,1.5,1.2,127,,
,0.001,28.820,G,14.1,2.3,0.6,54,,
,-0.001,-17.617,G,12.4,1.5,1.0,23,,
,0.005,5.809,G,15.1,1.1,0.6,30,,
,0.000,6.104,G,12.0,1.7,0.8,17,,
,0.034,-39.836,G,13.5,1.1,0.4,32,,
1,-0.007,45.090,G,13.8,1.2,0.6,41,,
1,0.002,0.370,G,13.4,1.4,0.6,150,,
,-0.017,-5.521,G,14.8,1.2,0.7,155,,
,0.002,-1.908,G,12.0,1.6,1.2,175,,
,0.001,-50.887,G,11.5,6.2,2.4,44,,
,0.000,-32.058,G,15.5,1.4,1.1,84,,
,0.008,82.853,G,13.8,1.1,0.8,102,,
,0.002,3.164,G,14.4,1.2,0.5,118,,
,-0.002,-85.985,G,15.8,0.9,0.8,45,,
2,0.003,0.003,G,14.6,1.2,0.5,2,,
3,0.009,44.965,G,14.9,0.8,0.6,138,,
,0.004,18.410,G,14.4,2.1,1.3,15,,
,-0.000,-63.346,G,14.9,1.1,0.7,30,,
,0.006,51.371,G,14.3,1.1,1.1,170,,
,0.009,36.647,G,14.3,1.1,1.0,87,,
,0.012,41.461,PN,11.9,0.8,,,Bow-Tie nebula,
,-0.004,-50.499,G,14.5,0.9,0.5,125,,
,0.003,0.077,G,15.1,0.9,0.5,114,,
,0.001,8.815,G,13.9,1.4,1.2,100,,
1,0.017,-54.097,G,10.4,6.2,4.4,159,,
1,0.008,16.015,G,13.5,1.4,1.1,85,,
,-0.008,55.402,G,14.9,1.3,0.6,15,,
,0.006,0.012,G,15.2,0.9,0.6,161,,
,0.006,-55.592,G,12.8,2.0,1.2,154,,
,-0.003,55.601,G,14.4,1.4,0.8,32,,
