,16.481,-16.109,DrkN,,15.7,,,,
,1.640,-15.384,DrkN,,75.4,,,,
,-0.067,0.495,DrkN,,160.2,,,,
,-1.012,8.794,DrkN,,4.3,,,,
,0.229,-2.217,DrkN,,7.4,,,,
,-0.121,1.191,DrkN,,15.4,,,,
,0.327,-3.060,DrkN,,12.8,,,,
,-0.703,7.034,DrkN,,19.6,,,,
,0.393,-3.973,DrkN,,17.9,,,,
,0.796,-6.876,DrkN,,3.7,,,,
,-0.828,7.207,DrkN,,7.4,,,,
,0.835,-7.223,DrkN,,3.7,,,,
,-0.903,7.952,DrkN,,7.4,,,,
,0.351,-3.375,DrkN,,9.6,,,,
,-0.345,3.375,DrkN,,14.0,,,,
,0.194,-1.886,DrkN,,23.5,,,,
,-0.133,1.324,DrkN,,43.0,,,,
,0.016,-0.166,DrkN,,6.8,,,,
,0.335,-3.142,DrkN,,54.2,,,,
,-0.343,3.308,DrkN,,14.7,,,,
,0.343,-3.208,DrkN,,10.3,,,,
,-0.703,7.017,DrkN,,35.8,,,,
,0.505,-5.048,DrkN,,3.0,,,,
,0.005,-0.050,DrkN,,4.3,,,,
,0.250,-2.165,DrkN,,5.7,,,,
,0.545,-4.311,DrkN,,12.5,,,,
,-1.623,15.385,DrkN,,125.9,,,,
,0.854,-8.940,DrkN,,100.9,,,,
,0.796,-6.576,DrkN,,11.7,,,,
,-0.897,7.568,DrkN,,31.4,,,,
,-0.385,3.973,DrkN,,10.0,,,,
,0.352,-3.558,DrkN,,22.6,,,,
,-0.494,5.215,DrkN,,37.8,,,,
,1.113,-10.587,DrkN,,338.5,,,,
,0.138,-1.057,DrkN,,9.6,,,,
,-0.463,3.867,DrkN,,4.3,,,,
,-0.144,1.323,DrkN,,8.0,,,,
,-0.145,1.406,DrkN,,6.1,,,,
,0.005,-0.017,DrkN,,8.8,,,,
,0.759,-6.578,DrkN,,11.5,,,,
,0.134,-0.924,DrkN,,6.4,,,,
,-0.535,4.295,DrkN,,81.5,,,,
,-0.978,9.864,DrkN,,17.9,,,,
,0.760,-7.880,DrkN,,12.8,,,,
,0.184,-1.653,DrkN,,39.9,,,,
,-0.301,2.811,DrkN,,39.9,,,,
,-0.385,3.973,DrkN,,35.8,,,,
,1.138,-10.418,DrkN,,167.8,,,,
,0.067,-0.495,DrkN,,69.0,,,,
,-0.619,5.122,DrkN,,9.1,,,,
,-0.208,2.035,DrkN,,12.5,,,,
,0.326,-3.010,DrkN,,5.2,,,,
,-0.150,1.439,DrkN,,2.1,,,,
,0.007,-0.050,DrkN,,3.0,,,,
,-0.009,0.083,DrkN,,3.7,,,,
,-0.134,1.324,DrkN,,46.0,,,,
,0.127,-1.174,DrkN,,3.7,,,,
,0.131,-1.191,DrkN,,4.3,,,,
,-0.164,1.538,DrkN,,5.7,,,,
,-0.144,1.407,DrkN,,12.7,,,,
,0.323,-2.944,DrkN,,6.1,,,,
,-0.691,6.834,DrkN,,89.3,,,,
,-0.000,0.000,DrkN,,13.0,,,,
,0.836,-7.940,DrkN,,67.5,,,,
,-0.451,4.134,DrkN,,20.1,,,,
,0.184,-1.653,DrkN,,6.4,,,Snake DCld,
,-0.168,1.654,DrkN,,20.1,,,,
,0.885,-7.469,DrkN,,5.2,,,,
,-0.650,5.319,DrkN,,100.2,,,,
,-0.051,0.497,DrkN,,6.8,,,,
,-0.184,1.820,DrkN,,25.5,,,,
,0.101,-0.826,DrkN,,37.6,,,,
,0.184,-1.654,DrkN,,35.7,,,,
,0.117,-0.991,DrkN,,13.2,,,,
,0.501,-3.964,DrkN,,17.7,,,,
,-0.518,4.129,DrkN,,49.3,,,,
,-0.301,2.779,DrkN,,4.8,,,,
,0.702,-5.933,DrkN,,2.1,,,,
,-0.769,6.711,DrkN,,37.1,,,,
,0.401,-3.638,DrkN,,4.8,,,,
,-0.234,2.100,DrkN,,6.4,,,,
,0.351,-3.008,DrkN,,101.8,,,,
,-1.196,11.749,DrkN,,16.0,,,,
,1.029,-10.261,DrkN,,38.8,,,,
,-0.167,1.521,DrkN,,12.8,,,,
,-0.084,0.794,DrkN,,17.0,,,,
,-0.040,0.414,DrkN,,2.1,,,,
,0.032,-0.248,DrkN,,11.1,,,,
,-0.034,0.348,DrkN,,4.8,,,,
,0.352,-3.158,DrkN,,12.8,,,,
,-0.268,2.397,DrkN,,8.6,,,,
,-0.075,0.745,DrkN,,4.8,,,,
,0.729,-6.114,DrkN,,5.7,,,,
,-0.713,6.065,DrkN,,13.7,,,,
,0.000,0.083,DrkN,,6.8,,,,
,0.803,-6.641,DrkN,,11.7,,,,
,-0.013,0.149,DrkN,,7.1,,,,
,-1.526,14.224,DrkN,,7.1,,,,
,0.720,-7.433,DrkN,,20.3,,,,
,-0.051,0.497,DrkN,,18.5,,,,
,0.097,-0.910,DrkN,,3.0,,,,
,0.012,-0.083,DrkN,,12.7,,,,
,-0.017,0.166,DrkN,,6.4,,,,
,-0.092,0.910,DrkN,,9.3,,,,
,-0.659,6.854,DrkN,,2.1,,,,
,0.005,0.000,DrkN,,2.1,,,,
,0.822,-8.342,DrkN,,10.3,,,,
,0.735,-6.030,DrkN,,3.7,,,,
,-0.518,4.212,DrkN,,5.7,,,,
,-0.820,8.025,DrkN,,40.3,,,,
,0.422,-4.270,DrkN,,5.7,,,,
,0.164,-1.522,DrkN,,12.5,,,,
,0.226,-1.983,DrkN,,13.7,,,,
,0.025,-0.165,DrkN,,47.7,,,,
,-0.770,7.362,DrkN,,25.5,,,,
,1.211,-10.830,DrkN,,3.0,,,,
,-0.692,5.783,DrkN,,28.1,,,,
,-0.502,4.965,DrkN,,15.7,,,,
,1.137,-10.252,DrkN,,39.6,,,,
,0.055,-0.413,DrkN,,6.8,,,,
,-1.443,13.397,DrkN,,8.8,,,,
,0.256,-2.732,DrkN,,9.6,,,,
,1.207,-10.663,DrkN,,3.0,,,,
,0.092,-0.577,DrkN,,140.7,,,,
,-0.618,4.955,DrkN,,66.9,,,,
,0.117,-0.991,DrkN,,40.7,,,,
,0.418,-3.287,DrkN,,5.7,,,,
,-0.619,5.105,DrkN,,60.9,,,,
,-0.601,5.874,DrkN,,6.4,,,,
,0.835,-7.857,DrkN,,36.8,,,,
,-0.335,2.976,DrkN,,40.7,,,,
,-0.501,4.965,DrkN,,15.4,,,,
,1.070,-9.757,DrkN,,23.2,,,,
,-2.091,21.356,DrkN,,31.8,,,,
,2.141,-21.686,DrkN,,6.1,,,,
,-0.552,4.627,DrkN,,26.3,,,,
,-0.635,6.288,DrkN,,64.1,,,,
,0.552,-5.461,DrkN,,68.7,,,,
,-0.121,1.158,DrkN,,23.0,,,,
,0.606,-5.289,DrkN,,68.0,,,,
,-1.037,9.759,DrkN,,18.8,,,,
,0.869,-8.271,DrkN,,82.4,,,,
,0.452,-3.468,DrkN,,47.9,,,,
,-0.493,3.964,DrkN,,11.5,,,,
,-1.088,10.757,DrkN,,25.8,,,,
,0.351,-3.726,DrkN,,17.4,,,,
,1.129,-10.169,DrkN,,14.7,,,,
,-1.294,11.991,DrkN,,7.4,,,,
,0.676,-6.702,DrkN,,48.7,,,,
,0.501,-4.130,DrkN,,249.2,,,,
,0.151,-1.156,DrkN,,42.7,,,,
,-1.271,11.575,DrkN,,69.0,,,,
,0.836,-8.023,DrkN,,48.4,,,,
,0.034,-0.248,DrkN,,47.7,,,,
,-0.067,0.578,DrkN,,85.9,,,,
,-1.013,10.012,DrkN,,24.1,,,,
,1.531,-14.141,DrkN,,6.1,,,,
,-1.355,12.320,DrkN,,16.0,,,,
,1.012,-9.594,DrkN,,18.0,,,,
,-0.058,0.495,DrkN,,15.7,,,,
,0.100,-0.826,DrkN,,23.2,,,,
,-1.032,9.760,DrkN,,23.8,,,,
,0.012,-0.083,DrkN,,12.1,,,,
,0.786,-7.527,DrkN,,17.0,,,,
,0.652,-5.119,DrkN,,15.7,,,,
,-0.234,1.816,DrkN,,6.1,,,,
,0.067,-0.495,DrkN,,25.7,,,,
,-0.552,4.626,DrkN,,69.4,,,,
,-1.673,17.720,DrkN,,62.8,,,,
,1.907,-19.703,DrkN,,46.9,,,,
,0.267,-2.147,DrkN,,38.1,,,,
,-0.418,3.553,DrkN,,10.9,,,,
,-0.346,3.225,DrkN,,9.6,,,,
,0.363,-3.307,DrkN,,9.6,,,,
,-0.345,3.175,DrkN,,8.6,,,,
,0.863,-7.304,DrkN,,37.6,,,,
,-0.786,6.610,DrkN,,12.5,,,,
,0.151,-1.323,DrkN,,55.5,,,,
,-0.134,1.241,DrkN,,14.7,,,,
,0.652,-5.453,DrkN,,112.5,,,,
,0.468,-3.333,DrkN,,6.1,,,,
,-0.969,7.546,DrkN,,71.3,,,,
,-1.651,17.388,DrkN,,33.2,,,,
1,1.634,-17.139,DrkN,,22.2,,,,
,0.201,-1.735,DrkN,,37.1,,,,
