1,0.184,-12.823,G,15.5,1.0,0.3,142,,
,0.018,12.408,G,14.8,0.9,0.7,53,,
,0.022,17.901,G,14.1,1.2,0.8,12,,
,0.069,-27.029,G,14.6,1.0,0.7,9,,
,0.022,6.267,G,14.6,1.2,1.1,146,,
,-0.000,13.871,G,14.6,0.9,0.6,174,,
,0.002,-13.817,G,15.2,0.8,0.3,129,,
,0.012,-10.900,G,15.4,0.6,0.5,122,,
,0.009,73.426,G,10.3,6.8,6.0,129,,
1,-0.000,-61.957,G,15.1,1.0,0.3,20,,
,0.001,10.353,G,14.9,1.3,0.5,162,,
1,0.127,-7.761,G,15.9,0.4,0.4,91,,
,0.003,-13.033,G,15.2,0.6,0.3,62,,
,0.006,15.743,G,14.8,0.7,0.5,102,,
,0.001,-14.236,G,15.0,1.1,0.4,29,,
,0.002,-0.054,G,15.2,0.8,0.7,30,,
,-0.000,-1.369,G,14.9,0.9,0.8,18,,
,0.008,12.846,G,15.5,0.5,0.5,6,,
,0.007,-8.917,G,14.7,0.8,0.4,45,,
,0.021,-3.639,G,15.1,0.8,0.8,20,,
1,0.006,12.313,G,15.3,0.9,0.4,34,,
1,0.032,-12.965,G,15.8,0.6,0.3,148,,
,0.000,-0.084,G,15.6,0.3,0.2,85,,
,0.018,11.278,G,15.8,0.7,0.5,160,,
,0.001,0.093,G,15.2,0.7,0.4,23,,
,0.003,14.353,G,15.6,1.2,0.2,90,,
,0.010,-14.410,G,16.1,0.6,0.4,1,,
,0.001,0.004,G,15.3,0.8,0.6,123,,
,0.008,11.262,G,13.8,2.8,1.1,156,,
,0.035,1.234,G,15.0,0.9,0.7,18,,
,0.002,-25.799,G,15.5,0.3,0.3,60,,
,0.013,0.082,G,16.2,0.7,0.4,158,,
,0.001,-0.061,G,15.0,0.8,0.6,65,,
1,0.012,17.876,G,15.0,1.1,0.4,14,,
,0.005,-16.630,G,15.2,0.7,0.5,162,,
,0.024,-1.254,G,15.4,0.8,0.5,56,,
,0.021,45.070,G,13.2,1.3,1.1,87,,
2,0.010,-2.389,G,14.3,0.8,0.6,82,,
,-0.001,-40.994,G,16.1,0.4,0.2,100,,
,0.011,5.554,G,13.2,1.1,0.9,172,,
,0.006,10.037,G,13.8,1.3,1.0,77,,
,0.036,-11.353,G,14.7,1.0,0.9,169,,
,0.005,-3.939,G,13.8,1.7,1.1,55,,
,0.034,17.534,G,15.3,0.9,0.4,96,,
,0.038,6.508,G,15.3,0.9,0.6,94,,
1,0.017,-2.881,G,15.0,0.6,0.3,175,,
,-0.004,-20.563,G,15.1,0.8,0.7,116,,
,0.055,24.685,G,15.5,1.0,1.0,10,,
,0.004,-25.519,G,15.5,0.8,0.5,105,,
,0.041,74.822,RfN,,10.0,5.0,,,
,-0.023,-74.502,G,15.8,1.0,0.8,48,,
,0.017,20.865,G,15.2,1.3,1.3,175,,
,0.027,4.301,G,15.0,0.8,0.5,25,,
,0.012,49.104,HII,13.3,10.0,3.0,,,
,-0.001,-33.853,G,14.0,1.0,0.7,148,,
,0.025,20.623,G,13.6,2.6,0.7,154,,
,-0.006,-16.885,G,14.1,1.2,0.4,124,,
2,0.014,0.244,G,14.7,0.8,0.4,71,,
,-0.005,-30.990,G,16.8,0.4,0.2,147,,
2,0.063,4.716,G,15.4,0.6,0.5,149,,
,0.018,-0.677,G,15.6,0.6,0.5,5,,
,0.021,6.747,G,15.0,0.7,0.5,31,,
,0.017,-15.392,G,15.4,0.8,0.4,116,,
,0.008,-10.866,G,15.0,0.5,0.4,90,,
,0.002,-0.424,G,15.2,1.8,0.8,126,,
,0.000,-0.104,G,14.9,1.2,0.9,158,,
,0.000,0.541,GPair,,1.2,,,,
,0.009,13.712,G,14.5,1.2,0.9,145,,
,-0.004,-14.304,G,14.8,0.9,0.8,93,,
,0.023,17.689,G,15.2,0.7,0.5,114,,
,0.015,-0.049,G,15.2,0.7,0.4,12,,
1,0.035,-17.882,G,15.3,0.7,0.3,142,,
,0.013,17.007,G,15.4,0.7,0.6,66,,
