39,0.217,72.522,PN,11.9,0.8,,,Bow-Tie nebula,NGC 40,Cep,,
88,0.282,-12.311,OCl,6.5,5.4,,,,NGC 129,Cas,,
6,0.026,1.298,OCl,,3.3,,,,NGC 136,Cas,,
20,0.055,-69.905,G,13.1,3.7,1.9,28,,NGC 157,Cet,SABb,22.1
27,0.069,56.733,G,9.2,12.9,10.8,38,,NGC 185,Cas,E,24.6
19,0.024,-6.652,G,8.2,16.2,9.6,170,,NGC 205,And,E,23.8
19,0.054,20.082,OCl,7.0,4.2,,,,NGC 225,Cas,,
20,0.057,-73.639,PN,10.9,4.1,,,,NGC 246,Cet,,
,0.002,-8.888,G,9.2,19.7,5.5,167,,NGC 247,Cet,SABc,23.8
5,0.007,-4.528,G,11.1,26.8,4.6,53,Sculptor Filament,NGC 253,Scl,SABc,22.4
24,0.075,72.838,G,10.8,2.4,2.3,30,,NGC 278,Cas,SABb,22.1
9,0.012,-74.140,GCl,8.1,9.6,,,,NGC 288,Scl,,
92,0.258,88.173,OCl,9.3,6.0,,,,NGC 381,Cas,,
22,0.020,-25.865,G,10.6,3.4,3.4,90,,NGC 404,And,E-S0,22.6
31,0.108,23.099,OCl,8.8,5.7,,,,NGC 436,Cas,,
20,0.060,-0.526,OCl,6.4,7.8,,,Owl Cluster,NGC 457,Cas,,
30,0.037,-53.034,G,10.3,5.0,3.7,13,,NGC 488,Psc,Sb,23.1
35,0.050,4.282,G,10.3,3.4,3.4,55,,NGC 524,Psc,S0-a,22.8
34,0.080,53.762,OCl,9.5,9.0,,,,NGC 559,Cas,,
24,0.029,-70.169,G,10.3,3.8,2.5,104,,NGC 584,Cet,E,23.1
11,0.026,-0.164,G,10.9,2.1,1.6,36,,NGC 596,Cet,E,22.4
1,0.016,37.692,G,5.8,62.1,36.7,23,Triangulum Galaxy,NGC 598,Tri,Sc,23.6
14,0.008,-60.078,G,10.3,5.5,4.5,125,,NGC 613,Scl,Sbc,23.0
1,0.013,22.078,G,11.7,3.2,1.2,164,,NGC 615,Cet,Sb,23.0
21,0.133,71.377,OCl,8.2,4.5,,,,NGC 637,Cas,,
12,-0.013,-12.462,PN,10.1,1.1,,,Barbell Nebula,NGC 650,Per,,
,0.000,0.000,Dup,,,,,,NGC 651,Per,,
2,0.028,10.308,OCl,6.5,6.3,,,,NGC 654,Cas,,
4,0.007,-1.214,OCl,7.9,4.2,,,,NGC 659,Cas,,
3,0.031,0.549,OCl,7.1,6.0,,,,NGC 663,Cas,,
56,0.112,-74.957,G,10.1,4.5,2.4,142,,NGC 720,Cet,E,23.2
31,0.077,51.572,OCl,5.7,39.0,,,,NGC 752,And,,
19,0.029,-18.825,G,10.3,4.6,2.5,131,,NGC 772,Ari,Sb,22.3
6,0.006,-24.971,G,11.2,1.4,0.6,160,,NGC 779,Cet,SABb,20.8
89,0.321,63.080,OCl,3.7,14.4,,,h Persei Cluster,NGC 869,Per,,
14,0.060,0.027,OCl,3.8,10.5,,,chi Persei Cluster,NGC 884,Per,,
6,-0.000,-14.795,G,10.0,13.0,3.0,22,,NGC 891,And,Sb,24.2
16,0.009,-63.583,G,10.3,6.1,2.8,77,,NGC 908,Cet,SABc,22.9
27,0.075,20.078,G,10.2,4.4,3.2,133,,NGC 936,Cet,S0-a,23.1
85,0.182,-5.521,G,11.3,2.6,1.5,74,,NGC 1022,Cet,SBa,22.7
,0.031,45.740,G,9.5,7.4,3.1,87,,NGC 1023,Per,E-S0,22.6
3,0.037,22.531,OCl,6.7,7.8,,,,NGC 1027,Cas,,
