,-0.004,-71.184,G,14.3,0.9,0.7,6,,,Phe,IB,22.9
,0.002,-0.012,G,14.4,0.8,0.5,146,,,Phe,S0-a,23.2
,0.001,-0.025,G,13.5,1.2,0.6,140,,,Phe,S0-a,23.2
,0.007,71.065,G,13.8,1.0,0.8,120,,,And,SABc,23.1
1,-0.005,-71.025,G,13.2,1.6,0.8,150,,,Phe,Sa,23.4
,0.009,71.033,G,13.3,1.3,0.7,50,,,And,Sab,23.3
,0.002,0.075,G,15.4,0.5,0.3,20,,,And,,
,0.000,-11.991,G,12.6,1.5,1.1,85,,,Psc,SABc,22.6
,0.002,12.054,G,15.5,0.7,0.6,130,,,And,E-S0,23.4
,0.003,7.199,G,13.4,1.3,1.2,25,,,And,E,23.0
,0.005,-75.014,G,12.7,1.6,1.4,65,,,Phe,SBbc,23.1
,0.020,61.039,G,13.8,1.1,0.9,46,,,Psc,Sc,22.8
,0.001,0.716,G,13.2,3.5,0.5,56,,,Psc,Sc,23.7
,-0.002,-49.022,G,12.8,1.9,1.8,80,,,Scl,SABc,23.5
,0.011,18.580,G,14.4,0.9,0.6,126,,,Cet,S0-a,22.9
,0.011,75.279,OCl,9.8,2.7,,,,,Cas,,
,-0.020,-133.404,GCl,4.1,31.8,,,47 Tuc Cluster,,Tuc,,
,0.020,84.965,G,13.2,0.8,0.7,170,,,Psc,Sab,22.1
,-0.009,-18.033,G,14.5,0.9,0.7,84,,,Psc,Sc,22.8
,0.016,-3.134,G,15.0,0.8,0.5,179,,,Cet,Sbc,22.9
,0.005,37.495,G,13.3,1.7,1.1,63,,,And,S0-a,23.2
,0.004,-7.405,G,13.7,1.1,0.8,83,,,And,Sa,23.4
,0.020,49.585,OCl,,3.9,,,,,Cas,,
1,-0.010,-39.689,G,14.4,1.0,0.5,107,,,And,Sb,22.9
,0.002,-34.204,G,14.0,1.2,1.0,172,,,Cet,E-S0,23.2
,0.001,0.715,G,14.7,1.0,0.8,171,,,Cet,S0,23.4
,-0.004,-31.891,G,13.7,2.1,0.7,122,,,Scl,SBbc,23.2
,0.005,26.009,G,14.7,1.1,0.5,98,,,Cet,S0-a,23.5
,0.002,9.002,G,15.4,1.0,0.5,101,,,Cet,S0-a,24.0
,0.002,-3.114,G,14.8,0.8,0.6,58,,,Cet,E,23.0
,-0.006,-55.198,G,15.7,1.2,1.1,30,,,Phe,E-S0,23.3
,0.009,55.465,G,14.6,1.5,0.5,73,,,Cet,S0,24.1
,-0.011,-70.023,GCl,11.2,3.8,3.1,80,,,Tuc,,
2,0.018,69.726,G,13.7,1.3,0.7,168,,,Cet,Sc,22.6
,0.016,4.649,G,12.3,1.4,1.2,60,,,Psc,S0-a,22.8
,0.005,-0.028,G,15.5,0.7,0.6,111,,,Psc,S0,23.4
,0.001,0.062,G,15.3,0.9,0.4,75,,,Psc,S0,23.9
,0.001,-0.009,G,11.6,3.2,0.9,1,,,Psc,S0,23.8
,0.011,57.347,OCl,6.5,5.4,,,,,Cas,,
,-0.011,-57.341,G,14.8,0.7,0.4,44,,,Psc,E-S0,22.8
,0.006,-36.130,G,13.2,1.8,0.7,62,,,Scl,SBb,23.1
,0.009,35.353,G,13.7,1.6,1.1,38,,,Cet,SABb,23.2
,0.018,61.260,OCl,9.4,2.1,,,,,Cas,,
,-0.015,-96.597,G,10.3,8.4,1.8,50,,,Scl,SABb,23.4
,0.023,19.907,G,15.0,0.7,0.3,14,,,Cet,E-S0,23.2
,-0.004,74.846,OCl,,3.3,,,,,Cas,,
,-0.009,-51.301,G,12.8,1.4,1.4,30,,,Psc,S0,23.2
,0.000,-5.048,G,14.7,1.2,0.6,175,,,Psc,Sa,23.6
,0.002,-0.081,G,15.4,0.8,0.4,0,,,Psc,SBab,23.3
,0.004,25.714,G,14.2,0.9,0.8,43,,,And,SBc,22.7
,-0.000,-25.613,G,15.3,0.9,0.6,165,,,Psc,S0-a,23.6
,-0.003,-27.799,G,14.6,1.0,0.4,104,,,Cet,SBb,22.7
,0.002,0.059,G,15.3,1.1,0.3,21,,,Cet,SBb,23.4
,0.001,-0.086,G,14.4,0.8,0.8,10,,,Cet,Sc,22.6
,0.007,17.493,G,12.8,1.8,1.4,116,,,Cet,Sd,23.0
,0.022,68.462,OCl,9.1,3.6,,,,,Cas,,
,0.002,-14.800,G,9.7,9.4,5.4,26,,,Cas,E,24.3
,0.018,-80.295,G,12.2,2.0,0.7,90,,,Scl,S0,23.3
,-0.007,62.509,G,15.0,0.9,0.5,153,,,And,S0,23.6
,0.007,-58.527,G,11.4,3.5,1.6,117,,,Scl,SBb,22.9
,-0.004,18.099,G,11.7,3.7,2.3,76,,,Cet,Sbc,23.5
,-0.019,-63.415,OCl,12.3,3.0,3.0,,,,Tuc,,
1,0.024,60.464,G,15.2,1.0,0.9,79,,,Cet,E,23.9
,0.006,1.890,G,14.2,1.5,1.3,170,,,Cet,S0,23.7
1,0.002,2.370,G,13.1,3.7,1.9,28,,,Cet,SABb,22.1
1,-0.003,-47.394,G,14.9,1.4,0.6,96,,,Phe,S0-a,24.1
,0.024,79.748,G,12.7,2.0,0.9,46,,,And,S0-a,23.7
,-0.008,-26.807,G,14.4,1.4,0.7,22,,,Cet,S0,23.8
1,0.007,-7.273,G,12.7,1.4,1.3,75,,,Cet,E,23.3
,0.009,12.872,G,15.9,0.5,0.5,70,,,Psc,,23.3
,-0.001,-12.856,G,13.2,1.6,1.1,72,,,Cet,Sbc,23.4
,-0.011,-3.505,G,15.2,0.9,0.3,149,,,Cet,Sa,23.2
,-0.007,-9.764,G,14.3,1.0,0.5,171,,,Cet,SBc,22.6
,0.021,0.782,G,14.9,1.3,0.3,27,,,Cet,S0-a,24.1
,0.003,46.584,G,13.1,1.5,0.7,93,,,And,Sab,22.7
,-0.001,-22.105,G,15.4,0.7,0.5,82,,,Cet,E-S0,23.4
,0.010,-21.820,G,12.2,2.1,1.3,102,,,Cet,Sab,23.0
,-0.003,-2.653,G,13.5,2.0,0.4,14,,,Cet,SBbc,23.2
,0.000,24.529,G,13.4,2.1,1.5,94,,,Cet,Sc,23.5
,-0.004,-31.420,G,13.8,1.6,0.7,150,,,Scl,S0-a,23.2
1,-0.017,-43.688,OCl,13.0,1.2,1.2,,,,Tuc,,
,0.027,50.617,G,14.2,2.1,0.5,10,,,Cet,Sab,23.7
,0.026,8.376,G,12.6,2.1,0.6,4,,,Cet,SBm,22.3
,-0.022,-3.676,G,13.2,1.1,1.0,111,,,Cet,E,23.3
,0.003,26.484,G,14.2,2.2,1.5,163,,,Psc,Sc,24.1
,0.007,20.838,G,15.5,0.9,0.2,152,,,And,S0-a,23.8
,-0.003,-26.744,G,12.6,1.9,1.3,78,,,Psc,SABa,23.3
,0.004,26.782,G,12.7,1.0,0.8,129,,,And,E,22.7
,0.002,-0.063,G,15.5,0.7,0.3,8,,,And,Sab,23.1
,0.006,18.889,G,9.2,12.9,10.8,38,,,Cas,E,24.6
,-0.009,-45.171,G,14.7,1.4,0.8,25,,,Psc,S0-a,24.0
,0.018,-17.822,G,14.0,1.5,0.5,149,,,Cet,SBc,22.8
,0.133,99.926,OCl,8.1,17.7,,,,,Cep,,
,-0.131,-24.176,OCl,8.8,2.7,,,,,Cas,,
,-0.011,-54.034,GPair,,1.1,,,,,Psc,,
,0.001,-16.063,G,13.8,1.0,0.7,100,,,Cet,Sc,22.6
,0.004,9.867,G,12.6,2.1,0.8,165,,,Cet,Sa,23.3
,0.001,2.467,G,12.3,2.1,1.4,55,,,Psc,E-S0,23.7
,0.000,-0.294,G,12.1,1.7,1.5,42,,,Psc,E,23.2
,0.005,-12.232,G,13.4,1.2,0.7,68,,,Cet,Sa,23.2
,-0.005,10.108,G,13.5,1.3,0.9,10,,,Cet,S0,23.7
,0.000,-0.021,G,13.5,0.9,0.7,35,,,Cet,S0-a,22.8
,0.001,1.906,G,13.1,1.3,1.2,35,,,Psc,Sc,22.3
,0.003,0.341,G,14.6,1.1,0.7,160,,,Psc,S0,23.6
,0.001,-0.252,G,12.7,1.8,1.0,163,,,Psc,Sbc,23.1
,-0.000,-2.027,G,13.0,1.7,1.3,146,,,Cet,Sc,23.3
,0.001,2.676,G,15.4,1.0,0.3,153,,,Psc,S0-a,24.0
,-0.000,-0.093,G,14.9,1.0,0.3,85,,,Psc,S0,23.5
,0.001,-0.143,G,13.0,1.4,1.1,22,,,Psc,S0,23.3
,0.011,38.385,G,8.2,16.2,9.6,170,,,And,E,23.8
1,-0.012,-55.922,G,14.7,0.9,0.5,84,,,Cet,Sa,23.0
,0.011,16.993,G,15.4,0.8,0.7,137,,,Psc,Sa,23.5
,-0.021,-21.364,G,14.1,1.1,1.0,6,,,Cet,E-S0,23.2
,0.025,4.735,G,11.1,5.0,3.0,163,,,Cet,SABb,23.6
1,-0.006,-42.280,G,15.4,1.9,1.4,122,,,Phe,E-S0,24.5
,0.016,72.622,G,14.7,1.4,1.1,100,,,Psc,Sa,24.0
,0.005,9.030,G,12.2,1.9,1.3,42,,,And,SABc,22.7
,-0.011,-81.713,G,14.1,1.1,0.9,118,,,Phe,E-S0,23.1
,0.011,35.169,G,13.2,1.4,0.6,27,,,Cet,S0,23.1
,0.002,11.024,G,12.1,3.2,0.7,113,,,Cet,SBa,24.0
,0.083,46.347,G,13.5,1.3,0.7,46,,,And,Sc,22.6
,-0.073,-35.421,G,15.2,0.6,0.5,177,,,Cet,E,23.1
,-0.028,-74.309,OCl,14.4,1.2,1.2,,,,Tuc,,
,0.037,114.269,G,8.1,7.7,4.9,170,,,And,E,22.2
