,0.995,-31.315,GCl,9.0,4.5,,,,NGC6981,Aqr,,
,0.091,-0.098,Other,8.9,,,,,NGC6994,Aqr,,
,-19.370,28.419,G,9.3,9.9,9.3,87,Phantom Galaxy,NGC0628,Psc,Sc,23.4
,18.489,-37.706,GCl,8.3,3.6,,,,NGC6864,Sgr,,
,-18.396,73.497,PN,10.1,1.1,,,Barbell Nebula,NGC0650,Per,,
,1.006,-51.588,G,9.3,6.1,5.6,12,Cetus A or Squid Galaxy,NGC1068,Cet,Sb,22.4
,3.068,0.092,RfN,8.0,4.5,,,,NGC2068,Ori,,
,-0.376,-24.603,GCl,8.2,7.2,,,,NGC1904,Lep,,
,10.881,1.549,GCl,7.3,5.7,,,,NGC6093,Sco,,
,-6.358,92.040,G,6.9,21.6,11.2,157,Bode's Galaxy,NGC3031,UMa,Sab,22.8
,0.005,0.614,G,8.3,11.0,5.1,66,Cigar Galaxy,NGC3034,UMa,S?,22.2
,3.686,-99.544,G,7.2,13.6,13.2,45,Southern Pinwheel Galaxy,NGC5236,Hya,Sc,22.2
,-1.199,42.752,G,9.8,7.4,6.4,133,,NGC4374,Vir,E,23.2
,0.005,5.305,G,9.1,7.0,5.3,12,,NGC4382,Com,S0-a,22.9
,0.014,-5.246,G,8.9,11.5,8.4,128,,NGC4406,Vir,E,23.9
,0.077,-0.555,G,9.0,7.1,6.7,153,Virgo Galaxy,NGC4486,Vir,E,22.8
,0.019,2.029,G,10.3,8.7,4.4,138,,NGC4501,Com,Sb,23.2
,0.061,-1.864,G,10.1,8.1,8.0,150,,NGC4552,Vir,E,24.1
,0.020,0.607,G,9.5,9.1,3.8,22,Carabin Galaxy,NGC4569,Vir,Sab,23.2
,-0.023,1.333,G,11.0,5.5,4.5,150,,NGC4548,Com,Sb,23.2
,4.694,28.641,GCl,6.5,14.4,,,,NGC6341,Her,,
,-9.544,-66.990,OCl,6.2,15.0,,,Critter Cluster,NGC2447,Pup,,
,5.107,64.973,G,8.2,7.7,6.7,105,Crocodile Eye or Cat's Eye Galaxy,NGC4736,CVn,SABa,21.8
,-2.115,-29.416,G,9.8,7.2,4.5,11,,NGC3351,Leo,Sb,23.3
,0.046,0.116,G,9.2,8.3,5.5,5,,NGC3368,Leo,Sab,23.1
,0.468,43.199,PN,9.9,3.6,,,Owl Nebula,NGC3587,UMa,,
,0.983,-40.119,G,10.8,11.0,2.7,152,,NGC4192,Com,SABb,23.9
,0.084,-0.483,G,9.8,5.0,4.7,23,Coma Pinwheel,NGC4254,Com,Sc,22.6
,0.068,1.405,G,9.5,6.1,5.6,108,Mirror Galaxy,NGC4321,Com,SABb,22.6
,1.671,38.527,G,7.9,24.0,23.1,28,Pinwheel Galaxy,NGC5457,UMa,SABc,24.0
,1.055,1.414,G,9.9,6.3,2.7,126,,NGC 5866,Dra,S0-a,23.4
,-13.552,4.895,OCl,7.4,4.5,,,,NGC0581,Cas,,
,11.111,-72.281,G,8.6,8.4,4.9,90,Sombrero Galaxy,NGC4594,Vir,Sa,22.3
,-1.870,24.205,G,9.3,4.9,4.2,71,,NGC3379,Leo,E,22.5
,1.519,34.722,G,9.3,17.0,7.2,150,,NGC4258,CVn,Sbc,23.4
,4.226,-60.358,GCl,8.8,7.8,,,Crucifix Cluster,NGC6171,Oph,,
,-5.350,68.728,G,10.1,4.0,1.7,79,Surfboard Galaxy,NGC3556,UMa,Sc,21.7
,0.768,-2.299,G,9.9,8.1,5.6,78,Vacuum Cleaner Galaxy,NGC3992,UMa,Sbc,23.4
,-11.287,-11.690,G,8.2,16.2,9.6,170,,NGC0205,And,E,23.8
