,3.549,31.159,DrkN,,30.0,,,,,,,
,0.010,1.166,DrkN,,20.0,,,,,,,
,0.108,-0.350,DrkN,,20.0,,,,,,,
,0.067,-0.176,DrkN,,,,,,,,,
,0.064,1.090,DrkN,,60.0,,,,,,,
,0.142,23.231,DrkN,,,,,,,,,
,0.350,-27.558,DrkN,,,,,,,,,
,0.007,26.685,DrkN,,,,,,,,,
,0.019,-0.186,DrkN,,,,,,,,,
,-0.005,-26.786,DrkN,,8.0,,,,,,,
,0.133,26.765,DrkN,,,,,,,,,
,0.052,-0.793,DrkN,,24.0,,,,,,,
,0.026,0.646,DrkN,,11.0,,,,,,,
,0.144,-29.144,DrkN,,3.0,,,,,,,
,-0.134,20.875,DrkN,,13.0,,,,,,,
,0.009,-0.018,DrkN,,,,,,,,,
,0.001,-0.084,DrkN,,,,,,,,,
,-0.022,-22.165,DrkN,,60.0,,,Kutner's Cloud,,,,
,0.041,1.910,DrkN,,60.0,,,,,,,
,0.057,24.710,DrkN,,60.0,,,,,,,
,0.015,4.381,DrkN,,10.0,,,,,,,
,0.011,-29.305,DrkN,,120.0,,,,,,,
,0.032,3.828,DrkN,,5.0,,,,,,,
,0.039,-0.140,DrkN,,8.0,,,,,,,
,0.153,16.275,DrkN,,8.0,,,,,,,
,0.043,-15.392,DrkN,,5.0,,,,,,,
,0.008,-0.068,DrkN,,5.0,,,,,,,
,0.012,0.081,DrkN,,4.0,,,,,,,
,0.175,0.953,DrkN,,10.0,,,,,,,
,0.399,-18.823,DrkN,,67.0,,,,,,,
,0.029,-0.005,DrkN,,30.0,,,,,,,
,0.002,-0.334,DrkN,,,,,,,,,
,0.145,-14.894,DrkN,,4.0,,,Horsehead Nebula,,,,
,0.044,35.112,DrkN,,20.0,,,,,,,
,0.034,-23.592,DrkN,,15.0,,,,,,,
,0.070,-1.629,DrkN,,120.0,,,,,,,
,0.720,3.052,DrkN,,175.0,,,,,,,
,0.013,0.598,DrkN,,60.0,,,,,,,
,0.072,-0.746,DrkN,,,,,,,,,
,9.610,-29.298,DrkN,,15.0,,,,,,,
,0.128,-0.662,DrkN,,45.0,,,,,,,
,0.053,-3.808,DrkN,,,,,,,,,
,0.080,3.663,DrkN,,,,,,,,,
,0.171,-4.305,DrkN,,,,,,,,,
,0.098,2.484,DrkN,,120.0,,,,,,,
,0.180,-1.136,DrkN,,,,,,,,,
,0.041,0.091,DrkN,,15.0,,,,,,,
,0.033,-18.046,DrkN,,40.0,,,,,,,
,0.016,7.420,DrkN,,,,,,,,,
,0.004,-1.116,DrkN,,15.0,,,,,,,
,0.031,12.123,DrkN,,20.0,,,,,,,
1,0.024,-11.330,DrkN,,60.0,,,,,,,
,0.006,-0.665,DrkN,,5.0,,,,,,,
,0.017,2.253,DrkN,,16.0,,,,,,,
,0.021,-0.097,DrkN,,3.0,,,,,,,
,-0.007,9.267,DrkN,,5.0,,,,,,,
,0.047,-17.577,DrkN,,30.0,,,,,,,
,0.003,12.919,DrkN,,60.0,,,,,,,
,0.008,5.051,DrkN,,13.0,,,,,,,
,0.052,1.960,DrkN,,,,,,,,,
