,15.981,-26.120,HII,,150.0,,,,,,,
,1.088,-12.022,HII,,60.0,,,,,,,
,0.160,-0.361,HII,,12.0,,,,,,,
,0.101,-0.836,HII,,5.0,,,,,,,
,0.004,0.884,HII,,100.0,,,,,,,
,-0.083,1.338,HII,,4.0,,,,,,,
,-1.246,14.166,HII,,240.0,,,,,,,
,1.352,-13.084,HII,,120.0,,,,,,,
,-1.004,10.446,HII,,80.0,,,,,,,
,0.964,-8.501,HII,,60.0,,,,,,,
,0.125,-0.116,HII,,90.0,,,,,,,
,0.157,1.606,HII,,120.0,,,,,,,
,-0.091,1.037,HII,,40.0,,,,,,,
,-0.003,1.300,HII,,2.0,,,,,,,
,0.338,-1.001,HII,,30.0,,,,,,,
,-0.045,1.960,HII,,20.0,,,,,,,
,-0.029,0.446,HII,,25.0,,,,,,,
,0.044,-0.394,HII,,4.0,,,,,,,
,0.010,0.135,HII,,12.0,,,,,,,
,-0.002,0.450,HII,,10.0,,,,,,,
,0.040,-0.228,HII,,5.0,,,,,,,
,0.057,3.859,HII,,60.0,,,,,,,
,-1.694,16.664,HII,,50.0,,,,,,,
,-0.040,1.295,HII,,30.0,,,,,,,
,1.907,-17.317,HII,,90.0,,,,,,,
,-0.108,1.067,HII,,20.0,,,,,,,
,-1.363,12.757,HII,,480.0,,,,,,,
,1.425,-13.014,HII,,40.0,,,,,,,
,0.130,-0.415,HII,,40.0,,,,,,,
,-0.116,0.984,HII,,20.0,,,,,,,
,0.129,-0.782,HII,,8.0,,,,,,,
,-0.006,0.149,HII,,8.0,,,,,,,
,-2.184,22.031,HII,,35.0,,,,,,,
,2.109,-20.041,HII,,90.0,,,,,,,
,0.157,1.406,HII,,20.0,,,,,,,
,-2.172,20.647,HII,,45.0,,,,,,,
,2.203,-20.059,HII,,20.0,,,,,,,
,-0.149,1.395,HII,,3.0,,,,,,,
,0.134,-0.381,HII,,3.0,,,,,,,
,-0.079,0.905,HII,,15.0,,,,,,,
,0.063,-0.490,HII,,90.0,,,,,,,
,-0.092,1.420,HII,,3.0,,,,,,,
,0.102,-0.586,HII,,15.0,,,,,,,
,0.001,0.667,HII,,60.0,,,,,,,
,0.071,0.561,HII,,60.0,,,,,,,
,-0.243,2.014,HII,,25.0,,,,,,,
,0.193,-1.455,HII,,5.0,,,,,,,
,0.077,1.028,HII,,10.0,,,,,,,
,-0.062,0.624,HII,,90.0,,,,,,,
,0.114,-0.750,HII,,35.0,,,,,,,
,0.255,-1.846,HII,,35.0,,,,,,,
,1.116,-6.530,HII,,2.0,,,,,,,
,-1.375,9.859,HII,,15.0,,,,,,,
,-0.123,1.499,HII,,140.0,,,,,,,
,0.238,-0.032,HII,,5.0,,,,,,,
,-0.018,2.047,HII,,7.0,,,,,,,
,-0.009,1.099,HII,,2.0,,,,,,,
,0.015,0.152,HII,,8.0,,,,,,,
,0.093,0.864,HII,,20.0,,,,,,,
,-0.006,0.899,HII,,20.0,,,,,,,
,-0.062,1.691,HII,,2.0,,,,,,,
,-0.089,1.154,HII,,4.0,,,,,,,
,1.502,-10.260,HII,,55.0,,,,,,,
,-1.435,12.203,HII,,25.0,,,,,,,
,0.256,-1.830,HII,,7.0,,,,,,,
,-0.025,1.747,HII,,8.0,,,,,,,
,0.066,-0.358,HII,,10.0,,,,,,,
,-0.404,3.209,HII,,8.0,,,,,,,
,0.321,-1.137,HII,,20.0,,,,,,,
,-0.497,7.345,HII,,5.0,,,,,,,
,0.790,-4.903,HII,,3.0,,,,,,,
,0.030,0.154,HII,,25.0,,,,,,,
,-2.879,19.560,HII,,75.0,,,,,,,
,2.962,-16.265,HII,,3.0,,,,,,,
,-0.159,1.511,HII,,10.0,,,,,,,
,-0.048,0.693,HII,,7.0,,,,,,,
,0.865,-6.665,HII,,8.0,,,,,,,
,-0.752,12.982,HII,,12.0,,,,,,,
,0.335,-0.154,HII,,40.0,,,,,,,
,-0.197,2.890,HII,,2.0,,,,,,,
,0.829,-5.073,HII,,10.0,,,,,,,
,-0.514,6.483,HII,,9.0,,,,,,,
,-0.097,2.520,HII,,2.0,,,,,,,
,0.409,-2.396,HII,,15.0,,,,,,,
,-0.763,7.430,HII,,6.0,,,,,,,
,0.664,-2.542,HII,,40.0,,,,,,,
,0.055,1.340,HII,,10.0,,,,,,,
,-0.008,0.716,HII,,25.0,,,,,,,
,0.068,1.142,HII,,5.0,,,,,,,
,-0.014,0.382,HII,,6.0,,,,,,,
,-0.227,2.736,HII,,120.0,,,,,,,
,0.185,-1.359,HII,,50.0,,,,,,,
,0.139,-1.032,HII,,1.0,,,,,,,
,-0.453,4.258,HII,,25.0,,,,,,,
,0.453,-2.174,HII,,1.0,,,,,,,
,-0.439,3.392,HII,,25.0,,,,,,,
,0.457,-2.423,HII,,10.0,,,,,,,
,0.044,1.156,HII,,15.0,,,,,,,
,0.035,2.071,HII,,5.0,,,,,,,
,0.017,0.019,HII,,4.0,,,,,,,
,-0.032,1.779,HII,,20.0,,,,,,,
,0.531,-4.686,HII,,40.0,,,,,,,
,0.312,0.318,HII,,210.0,,,,,,,
,-0.546,5.821,HII,,7.0,,,,,,,
,-0.095,1.606,HII,,18.0,,,,,,,
,0.257,-0.953,HII,,3.0,,,,,,,
,0.255,-1.054,HII,,5.0,,,,,,,
,-0.336,3.911,HII,,180.0,,,,,,,
,0.184,0.088,HII,,1080.0,,,,,,,
,0.786,-7.884,HII,,50.0,,,,,,,
,0.351,-2.352,HII,,90.0,,,,,,,
,-1.134,15.554,HII,,15.0,,,,,,,
,0.783,-7.569,HII,,15.0,,,,,,,
,0.006,0.618,HII,,9.0,,,,,,,
,-0.777,8.169,HII,,50.0,,,,,,,
,-0.037,0.479,HII,,2.0,,,,,,,
,0.441,-3.035,HII,,240.0,,,,,,,
,0.637,-4.106,HII,,480.0,,,,,,,
,-0.310,3.722,HII,,160.0,,,,,,,
,-0.244,5.943,HII,,1.0,,,,,,,
,0.024,-0.231,HII,,1.0,,,,,,,
,2.059,-34.725,HII,,40.0,,,,,,,
,-1.440,29.615,HII,,13.0,,,,,,,
,-0.067,5.811,HII,,70.0,,,,,,,
,0.254,-3.079,HII,,9.0,,,,,,,
,0.665,-8.690,HII,,160.0,,,,,,,
,-1.080,16.039,HII,,2.0,,,,,,,
,0.058,1.238,HII,,1.0,,,,,,,
,-0.340,4.102,HII,,140.0,,,,,,,
,-0.479,3.267,HII,,3.0,,,,,,,
,0.933,-5.742,HII,,170.0,,,,,,,
,0.663,-1.351,HII,,90.0,,,,,,,
,-0.830,8.170,HII,,80.0,,,,,,,
,0.709,-4.895,HII,,160.0,,,,,,,
,0.178,-0.672,HII,,15.0,,,,,,,
,-1.095,9.515,HII,,5.0,,,,,,,
,0.677,-3.559,HII,,90.0,,,,,,,
,0.592,-6.212,HII,,1.0,,,,,,,
,0.039,-0.265,HII,,10.0,,,,,,,
,-0.264,5.068,HII,,30.0,,,,,,,
,0.156,-1.640,HII,,5.0,,,,,,,
,0.318,-3.584,HII,,30.0,,,,,,,
,0.044,-0.348,HII,,4.0,,,,,,,
,-0.089,2.179,HII,,4.0,,,,,,,
,-0.322,4.416,HII,,90.0,,,,,,,
,0.398,-4.379,HII,,2.0,,,,,,,
,0.101,-1.462,HII,,2.0,,,,,,,
,0.012,0.050,HII,,2.0,,,,,,,
,0.003,0.017,HII,,1.0,,,,,,,
,-0.420,6.580,HII,,40.0,,,,,,,
,0.531,-8.042,HII,,20.0,,,,,,,
,-0.074,1.713,HII,,2.0,,,,,,,
,0.010,-0.049,HII,,5.0,,,,,,,
,-0.130,2.445,HII,,60.0,,,,,,,
,0.089,1.437,HII,,60.0,,,,,,,
,0.140,-2.362,HII,,2.0,,,,,,,
,0.182,-0.211,HII,,90.0,,,,,,,
,-0.040,1.466,HII,,10.0,,,,,,,
,0.034,-0.366,HII,,7.0,,,,,,,
,-0.165,3.528,HII,,80.0,,,,,,,
,0.161,-2.811,HII,,55.0,,,,,,,
,0.087,-0.664,HII,,40.0,,,,,,,
,0.210,-0.412,HII,,10.0,,,,,,,
,0.085,-0.816,HII,,3.0,,,,,,,
,0.024,1.967,HII,,10.0,,,,,,,
,0.039,-0.966,HII,,10.0,,,,,,,
,-0.113,3.882,HII,,2.0,,,,,,,
,0.294,-4.380,HII,,7.0,,,,,,,
,0.016,-0.100,HII,,5.0,,,,,,,
,-23.872,4.250,HII,,20.0,,,,,,,
,0.050,2.534,HII,,180.0,,,,,,,
,0.181,-5.901,HII,,1.0,,,,,,,
,0.105,0.482,HII,,30.0,,,,,,,
,23.416,19.201,HII,,10.0,,,,,,,
,-23.325,-16.236,HII,,2.0,,,,,,,
,0.073,-7.417,HII,,10.0,,,,,,,
,-0.002,5.183,HII,,40.0,,,,,,,
,21.790,25.292,HII,,420.0,,,,,,,
,-21.642,-24.895,HII,,1.0,,,,,,,
,0.139,0.063,HII,,15.0,,,,,,,
,0.008,2.283,HII,,15.0,,,,,,,
,0.017,-0.467,HII,,2.0,,,,,,,
,0.062,0.965,HII,,35.0,,,,,,,
,-0.019,-9.100,HII,,40.0,,,,,,,
,0.119,4.380,HII,,120.0,,,,,,,
,0.148,2.144,HII,,1.0,,,,,,,
,0.237,-1.277,HII,,10.0,,,,,,,
,0.126,-3.490,HII,,9.0,,,,,,,
,0.691,5.805,HII,,2.0,,,,,,,
,0.354,-2.730,HII,,150.0,,,,,,,
,0.055,-1.805,HII,,2.0,,,,,,,
,0.176,2.351,HII,,1.0,,,,,,,
,0.005,0.016,HII,,2.0,,,,,,,
,-0.003,-0.066,HII,,2.0,,,,,,,
,-0.121,-2.289,HII,,3.0,,,,,,,
,0.187,2.582,HII,,4.0,,,,,,,
,-0.156,-2.585,HII,,5.0,,,,,,,
,0.135,0.054,HII,,9.0,,,,,,,
,0.075,0.709,HII,,120.0,,,,,,,
,0.270,2.406,HII,,6.0,,,,,,,
,-0.126,-2.337,HII,,5.0,,,,,,,
,0.261,-0.844,HII,,170.0,,,,,,,
,0.053,-4.756,HII,,45.0,,,,,,,
,0.562,2.551,HII,,40.0,,,,,,,
,0.007,-4.235,HII,,120.0,,,,,,,
,0.118,-1.865,HII,,50.0,,,,,,,
,0.281,1.815,HII,,4.0,,,,,,,
,-0.006,-0.166,HII,,1.0,,,,,,,
,-0.145,-1.815,HII,,14.0,,,,,,,
,0.332,1.390,HII,,20.0,,,,,,,
,0.100,-1.614,HII,,2.0,,,,,,,
,0.061,-0.558,HII,,5.0,,,,,,,
,-0.332,-5.456,HII,,1.0,,,,,,,
,0.015,-0.552,HII,,4.0,,,,,,,
,-0.068,-1.758,HII,,2.0,,,,,,,
,0.457,4.206,HII,,80.0,,,,,,,
,0.231,1.185,HII,,9.0,,,,,,,
,0.708,4.182,HII,,70.0,,,,,,,
,-0.752,-4.793,HII,,3.0,,,,,,,
,-0.925,-10.778,HII,,320.0,,,,,,,
,1.017,9.732,HII,,120.0,,,,,,,
,-0.525,-11.079,HII,,6.0,,,,,,,
,0.784,6.942,HII,,70.0,,,,,,,
,0.167,0.759,HII,,30.0,,,,,,,
,-0.004,-2.349,HII,,10.0,,,,,,,
,-0.265,-2.629,HII,,3.0,,,,,,,
,0.146,0.962,HII,,20.0,,,,,,,
,-0.105,-1.502,HII,,8.0,,,,,,,
,0.046,-2.990,HII,,65.0,,,,,,,
,0.103,-0.331,HII,,300.0,,,,,,,
,0.280,1.793,HII,,12.0,,,,,,,
,0.052,0.276,HII,,40.0,,,,,,,
,-0.062,-0.408,HII,,2.0,,,,,,,
,-0.176,-1.358,HII,,12.0,,,,,,,
,0.215,1.419,HII,,10.0,,,,,,,
,-0.308,-2.489,HII,,55.0,,,,,,,
,0.148,0.912,HII,,7.0,,,,,,,
,-1.160,-14.739,HII,,1.0,,,,,,,
,0.158,-1.421,HII,,5.0,,,,,,,
,1.161,9.987,HII,,180.0,,,,,,,
,0.386,2.144,HII,,10.0,,,,,,,
,-0.205,-3.237,HII,,7.0,,,,,,,
